Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Media
test1,"Nov 12, 2022, 11:30:21 AM",Lunch Run,Run,,5628,14.15,,,false,,,activities/8106372643.gpx,,,5628.0,5384.0,14156.849609375,7.435998439788818,2.629429817199707,47.34614181518555,47.24614334106445,104.5999984741211,122.4000015258789,24.662813186645508,0.0007063718512654305,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,14249.400390625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5154316425323486,3633.89990234375,,,,,""
test2,"Nov 27, 2022, 11:34:37 AM",Lunch Run,Run,,3720,6.83,,,false,,,activities/8609412892.gpx,,,3720.0,2782.0,6833.10009765625,10.142333984375,2.4561827182769775,7.800000190734863,6.800000190734863,108.5,116.4000015258789,5.405405521392822,0.01463464554399252,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6848.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.8368548154830933,2007.5999755859375,,,,,""
test3,"Feb 23, 2023, 2:18:50 PM",Afternoon Run,Run,,3513,7.92,,,false,,,activities/8609671029.gpx,,,3513.0,3118.0,7922.64013671875,5.116000175476074,2.5409364700317383,7.010000228881836,7.210000038146973,108.5,115.69999694824219,8.177572250366211,-0.0025244110729545355,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7933.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.255234956741333,2117.39990234375,,,,,""
